propagationModel,distance,duration,signalStrength,throughput
ns3::FriisPropagationLossModel,1,60,-34.6839,73.7437
ns3::FriisPropagationLossModel,6,60,-50.247,73.7488
ns3::FriisPropagationLossModel,11,60,-55.5118,73.7437
ns3::FriisPropagationLossModel,16,60,-58.7663,73.7461
ns3::FriisPropagationLossModel,21,60,-61.1283,73.7423
ns3::FriisPropagationLossModel,26,60,-62.9834,73.7475
ns3::FriisPropagationLossModel,31,60,-64.5112,73.7473
ns3::FriisPropagationLossModel,36,60,-65.81,73.7433
ns3::FriisPropagationLossModel,41,60,-66.9396,73.7386
ns3::FriisPropagationLossModel,46,60,-67.9391,73.7449
ns3::FriisPropagationLossModel,51,60,-68.8353,73.7463
ns3::FriisPropagationLossModel,56,60,-69.6477,73.7449
ns3::FriisPropagationLossModel,61,60,-70.3905,73.7384
ns3::FriisPropagationLossModel,66,60,-71.0748,73.7473
ns3::FriisPropagationLossModel,71,60,-71.7091,73.7433
ns3::FriisPropagationLossModel,76,60,-72.3002,73.7485
ns3::FriisPropagationLossModel,81,60,-72.8536,73.7459
ns3::FriisPropagationLossModel,86,60,-73.3739,73.7376
ns3::FriisPropagationLossModel,91,60,-73.8648,73.7449
ns3::FriisPropagationLossModel,96,60,-74.3294,73.7404
ns3::FriisPropagationLossModel,101,60,-74.7704,73.7425
ns3::FriisPropagationLossModel,106,60,-75.19,73.7374
ns3::FriisPropagationLossModel,111,60,-75.5904,73.7349
ns3::FriisPropagationLossModel,116,60,-75.9731,73.7343
ns3::FriisPropagationLossModel,121,60,-76.3396,73.7366
ns3::FriisPropagationLossModel,126,60,-76.6913,73.7376
ns3::FriisPropagationLossModel,131,60,-77.0294,73.736
ns3::FriisPropagationLossModel,136,60,-77.3547,73.7404
ns3::FriisPropagationLossModel,141,60,-77.6683,49.7893
ns3::FriisPropagationLossModel,146,60,-77.971,49.7962
ns3::FriisPropagationLossModel,151,60,-78.2635,49.8037
